ID Region,Region,ID Comuna,Comuna,ID Year,Year,ID Level 1,Level 1,ID Level 2,Level 2,Output
1,Tarapacá,113,Iquique,2010,2010,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",258887808.0
1,Tarapacá,113,Iquique,2011,2011,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",258887856.0
1,Tarapacá,113,Iquique,2012,2012,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",258887792.0
2,Antofagasta,9,Antofagasta,2006,2006,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",8059939.0
2,Antofagasta,9,Antofagasta,2007,2007,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",8427540.0
2,Antofagasta,9,Antofagasta,2008,2008,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",14220480.0
2,Antofagasta,9,Antofagasta,2012,2012,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",9886390.0
3,Atacama,21,Caldera,2012,2012,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",6334882.0
3,Atacama,21,Caldera,2013,2013,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",6316891.0
3,Atacama,21,Caldera,2014,2014,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",6160223.0
3,Atacama,81,Diego De Almagro,2005,2005,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",197543920.0
3,Atacama,81,Diego De Almagro,2006,2006,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",284587584.0
3,Atacama,81,Diego De Almagro,2007,2007,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",250292128.0
3,Atacama,81,Diego De Almagro,2008,2008,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",56799328.0
3,Atacama,81,Diego De Almagro,2009,2009,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",13225429.0
3,Atacama,81,Diego De Almagro,2010,2010,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",14766353.0
3,Atacama,81,Diego De Almagro,2011,2011,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",19819616.0
3,Atacama,81,Diego De Almagro,2012,2012,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",8552490.0
3,Atacama,81,Diego De Almagro,2013,2013,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",23044064.0
3,Atacama,81,Diego De Almagro,2014,2014,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",11830366.0
4,Coquimbo,7,Andacollo,2010,2010,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",13581578.0
4,Coquimbo,7,Andacollo,2011,2011,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",1718869.75
4,Coquimbo,111,Illapel,2008,2008,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",4105592.75
4,Coquimbo,111,Illapel,2009,2009,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",725880.25
4,Coquimbo,111,Illapel,2010,2010,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",3390406.0
4,Coquimbo,126,La Serena,2005,2005,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",6386450.5
4,Coquimbo,126,La Serena,2006,2006,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",1368260.625
4,Coquimbo,126,La Serena,2007,2007,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",147758.625
4,Coquimbo,126,La Serena,2008,2008,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",42905.140625
4,Coquimbo,126,La Serena,2009,2009,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",97384.390625
4,Coquimbo,126,La Serena,2010,2010,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",93546.1982421875
4,Coquimbo,156,Los Vilos,2012,2012,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",7484914.0
5,Valparaíso,16,Cabildo,2010,2010,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",1601013.125
5,Valparaíso,16,Cabildo,2011,2011,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",1888973.125
5,Valparaíso,16,Cabildo,2012,2012,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",2172383.75
5,Valparaíso,16,Cabildo,2013,2013,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",2492025.0
5,Valparaíso,16,Cabildo,2014,2014,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",2627465.25
5,Valparaíso,24,Calle Larga,2012,2012,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",2337294.0
5,Valparaíso,24,Calle Larga,2013,2013,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",2547968.0
5,Valparaíso,24,Calle Larga,2014,2014,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",2576241.0
5,Valparaíso,30,Cartagena,2006,2006,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",912785.0
5,Valparaíso,30,Cartagena,2007,2007,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",1130265.25
5,Valparaíso,30,Cartagena,2008,2008,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",2999927.5
5,Valparaíso,30,Cartagena,2009,2009,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",11164440.0
5,Valparaíso,30,Cartagena,2010,2010,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",10309606.0
5,Valparaíso,30,Cartagena,2011,2011,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",17751622.0
5,Valparaíso,30,Cartagena,2012,2012,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",14377110.0
5,Valparaíso,30,Cartagena,2013,2013,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",18912910.0
5,Valparaíso,30,Cartagena,2014,2014,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",18685812.0
5,Valparaíso,63,Con Cón,2005,2005,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",200825.015625
5,Valparaíso,63,Con Cón,2008,2008,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",2135817.75
5,Valparaíso,63,Con Cón,2009,2009,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",3168239.0
5,Valparaíso,63,Con Cón,2010,2010,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",2647614.75
5,Valparaíso,138,Limache,2005,2005,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",1100685.875
5,Valparaíso,242,Putaendo,2007,2007,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",33750.9765625
5,Valparaíso,242,Putaendo,2008,2008,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",241770.46875
5,Valparaíso,242,Putaendo,2009,2009,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",49844.0546875
